City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Nome,US,64.5011,-165.4064,51.87,87,100,3.44,overcast clouds
292,Behbahan,IR,30.5959,50.2417,100.18,37,45,5.08,scattered clouds
293,Komyshnya,UA,50.1859,33.684,68.18,83,23,7.14,light rain
294,Sur,OM,22.5667,59.5289,85.24,68,96,11.52,overcast clouds
295,Koslan,RU,63.4564,48.8989,71.85,60,94,6.17,overcast clouds
296,Kirovskiy,RU,45.0917,133.5136,70.07,98,94,5.32,overcast clouds
297,Lufilufi,WS,-13.8745,-171.5986,74.98,73,79,21.34,light rain
298,Viedma,AR,-40.8135,-62.9967,50.14,49,24,16.2,few clouds
299,Chuy,UY,-33.6971,-53.4616,55.53,65,7,6.15,clear sky
300,Nyurba,RU,63.2842,118.3319,47.82,99,100,7.92,moderate rain
301,Pacific Grove,US,36.6177,-121.9166,71.42,78,40,6.91,scattered clouds
302,Meulaboh,ID,4.1363,96.1285,75.72,88,99,4.56,overcast clouds
303,Ahipara,NZ,-35.1667,173.1667,50.76,91,58,3.29,broken clouds
304,Dali,CN,25.7,100.1833,63.68,91,85,1.07,overcast clouds
305,Marsabit,KE,2.3284,37.9899,68.36,49,17,19.77,few clouds
306,Edgewater,US,28.9889,-80.9023,93.99,70,40,10.36,scattered clouds
307,Alizai,PK,33.5383,70.3462,83.52,58,16,2.19,few clouds
308,Yerbogachen,RU,61.2767,108.0108,50.07,91,100,6.15,overcast clouds
309,Prabumulih,ID,-3.45,104.25,73.4,95,100,2.39,overcast clouds
310,Adzope,CI,6.1069,-3.8619,76.08,73,98,4.34,overcast clouds
311,Bilibino,RU,68.0546,166.4372,43.83,81,94,5.59,overcast clouds
312,Muisne,EC,0.6,-80.0333,75.49,81,97,9.48,overcast clouds
313,Ewo,CG,-0.8725,14.8206,83.77,48,83,3.09,broken clouds
314,Shelburne,CA,44.0787,-80.2041,84.24,50,0,2.26,clear sky
315,Banepa,NP,27.6298,85.5214,71.92,88,75,5.75,moderate rain
316,Shelopugino,RU,51.6514,117.5599,54.48,90,13,5.12,few clouds
317,La Ronge,CA,55.1001,-105.2842,53.85,87,100,14.97,light intensity drizzle
318,Nhulunbuy,AU,-12.2333,136.7667,72.21,94,96,3.44,overcast clouds
319,Oum Hadjer,TD,13.2954,19.6966,80.24,69,39,8.75,light rain
320,Klaksvik,FO,62.2266,-6.589,54.52,74,58,10.92,broken clouds
321,Tasiilaq,GL,65.6145,-37.6368,51.96,76,17,4.45,few clouds
322,Grenaa,DK,56.4158,10.8783,64.62,59,92,4.0,overcast clouds
323,Ardakan,IR,32.31,54.0175,92.07,18,0,10.69,clear sky
324,Ladushkin,RU,54.5703,20.171,82.26,50,93,8.43,overcast clouds
325,Acuexcomac,MX,19.0333,-98.3833,70.81,23,0,2.3,clear sky
326,Lazaro Cardenas,MX,17.9583,-102.2,85.96,61,41,4.0,scattered clouds
327,Sorland,NO,67.667,12.6934,53.46,79,83,29.28,light rain
328,Kharp,RU,66.8014,65.8081,59.49,76,99,5.3,overcast clouds
